"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
10065,"$200,000+",4680,1420,2930,160,1580
,,,,,,
10069,total,"3,050","1,490","1,240",190,470
10069,"< $25,000",380,310,30,30,70
10069,"$25,000 - $49,999",260,190,40,20,40
10069,"$50,000 - $74,999",250,170,40,30,30
10069,"$75,000 -  $99,999",210,130,40,20,40
10069,"$100,000 - $199,999",610,350,190,30,90
10069,"$200,000+",1340,340,900,60,200
,,,,,,
10075,total,"14,310","9,210","4,160",490,"4,150"
10075,"< $25,000",2170,1900,130,70,590
10075,"$25,000 - $49,999",1540,1300,140,60,370
10075,"$50,000 - $74,999",1840,1560,150,60,420
10075,"$75,000 -  $99,999",1610,1300,210,50,390
10075,"$100,000 - $199,999",3170,2080,850,120,1010
10075,"$200,000+",3980,1070,2680,130,1370
,,,,,,
10128,total,"33,300","20,900","9,500","1,850","8,280"
10128,"< $25,000",5690,4760,360,430,1400
10128,"$25,000 - $49,999",4200,3380,350,340,880
10128,"$50,000 - $74,999",4730,3910,390,260,800
10128,"$75,000 -  $99,999",3630,2820,470,190,750
10128,"$100,000 - $199,999",6800,4190,2030,330,1790
10128,"$200,000+",8250,1840,5900,300,2660
,,,,,,
10162,total,750,350,330,40,240
10162,"< $25,000",90,80,** ,** ,40
10162,"$25,000 - $49,999",60,40,30,** ,50
10162,"$50,000 - $74,999",50,40,** ,** ,** 
10162,"$75,000 -  $99,999",60,40,** ,** ,20
10162,"$100,000 - $199,999",180,90,70,40,70
10162,"$200,000+",310,60,230,** ,60
,,,,,,
10280,total,"4,240","2,430","1,430",240,660
10280,"< $25,000",460,370,40,30,110
10280,"$25,000 - $49,999",340,280,40,20,70
10280,"$50,000 - $74,999",440,340,50,30,80
10280,"$75,000 -  $99,999",430,320,60,20,70
10280,"$100,000 - $199,999",1150,700,320,80,150
10280,"$200,000+",1420,420,920,60,180
,,,,,,
10282,total,"2,390","1,040","1,160",130,260
