,"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
272,10037.0,total,"10,680","6,520","1,000","2,920","2,150"
273,10037.0,"< $25,000",3780,2520,200,1010,770
274,10037.0,"$25,000 - $49,999",2820,1600,200,970,510
275,10037.0,"$50,000 - $74,999",1830,1150,150,480,430
276,10037.0,"$75,000 -  $99,999",1070,620,120,280,220
277,10037.0,"$100,000 - $199,999",1010,560,250,180,190
278,10037.0,"$200,000+",170,70,80,** ,30
279,,,,,,,
280,10038.0,total,"12,560","8,530","2,700","1,020","1,980"
281,10038.0,"< $25,000",3380,2300,590,420,810
282,10038.0,"$25,000 - $49,999",1970,1430,260,230,310
283,10038.0,"$50,000 - $74,999",1680,1380,130,130,220
284,10038.0,"$75,000 -  $99,999",1150,910,140,70,150
285,10038.0,"$100,000 - $199,999",2400,1720,490,110,280
286,10038.0,"$200,000+",1980,790,1090,60,210
287,,,,,,,
288,10039.0,total,"13,420","7,580","1,350","4,280","2,020"
289,10039.0,"< $25,000",6090,3800,400,1820,850
290,10039.0,"$25,000 - $49,999",3670,1930,310,1360,550
291,10039.0,"$50,000 - $74,999",1850,980,180,670,310
292,10039.0,"$75,000 -  $99,999",810,450,110,240,140
293,10039.0,"$100,000 - $199,999",810,360,250,190,140
294,10039.0,"$200,000+",190,60,100,** ,30
295,,,,,,,
296,10040.0,total,"21,620","12,800","3,680","4,680","3,850"
297,10040.0,"< $25,000",9580,6610,860,1970,1830
298,10040.0,"$25,000 - $49,999",5450,3050,730,1550,820
299,10040.0,"$50,000 - $74,999",3040,1680,540,730,480
300,10040.0,"$75,000 -  $99,999",1500,760,430,260,290
301,10040.0,"$100,000 - $199,999",1620,620,790,170,330
302,10040.0,"$200,000+",430,80,330,** ,100
303,,,,,,,
304,10044.0,total,"4,360","2,490","1,340",370,930
305,10044.0,"< $25,000",1110,840,120,120,230
306,10044.0,"$25,000 - $49,999",760,530,120,80,150
307,10044.0,"$50,000 - $74,999",660,440,120,60,130
308,10044.0,"$75,000 -  $99,999",440,250,130,40,100
309,10044.0,"$100,000 - $199,999",880,340,450,70,220
310,10044.0,"$200,000+",510,90,400,** ,100
311,,,,,,,
312,10065.0,total,"15,920","10,310","4,450",570,"4,500"
313,10065.0,"< $25,000",2280,1980,140,80,640
314,10065.0,"$25,000 - $49,999",1920,1640,140,70,420
315,10065.0,"$50,000 - $74,999",2140,1780,190,80,430
316,10065.0,"$75,000 -  $99,999",1620,1310,210,50,430
317,10065.0,"$100,000 - $199,999",3280,2180,840,130,1000
318,10065.0,"$200,000+",4680,1420,2930,160,1580
319,,,,,,,
320,10069.0,total,"3,050","1,490","1,240",190,470
321,10069.0,"< $25,000",380,310,30,30,70
322,10069.0,"$25,000 - $49,999",260,190,40,20,40
